Antiques	Asian Antiques	Japan	Bells		9
Antiques	Asian Antiques	Japan	Bowls		644
Antiques	Asian Antiques	Japan	Boxes		238
Antiques	Asian Antiques	Japan	Dolls		245
Antiques	Asian Antiques	Japan	Fans		21
Antiques	Asian Antiques	Japan	Glasses &amp; Cups		295
Antiques	Asian Antiques	Japan	Katana		282
Antiques	Asian Antiques	Japan	Kimonos &amp; Textiles		345
Antiques	Asian Antiques	Japan	Masks		149
Antiques	Asian Antiques	Japan	Netsuke		703
Antiques	Asian Antiques	Japan	Paintings &amp; Scrolls		1081
Antiques	Asian Antiques	Japan	Plates		461
Antiques	Asian Antiques	Japan	Prints		1583
Antiques	Asian Antiques	Japan	Statues		339
Antiques	Asian Antiques	Japan	Swords		239
Antiques	Asian Antiques	Japan	Tea Caddies		69
Antiques	Asian Antiques	Japan	Teapots		215
Antiques	Asian Antiques	Japan	Tsuba		254
Antiques	Asian Antiques	Japan	Vases		1080
Antiques	Asian Antiques	Japan	Other		2208
Antiques	Asian Antiques	Korea			106
Antiques	Asian Antiques	Middle East			736
Antiques	Asian Antiques	Mongolia			208
Antiques	Asian Antiques	Southeast Asia	Amulets		1440
Antiques	Asian Antiques	Southeast Asia	Bells		15
Antiques	Asian Antiques	Southeast Asia	Bracelets		19
Antiques	Asian Antiques	Southeast Asia	Masks		8
Antiques	Asian Antiques	Southeast Asia	Necklaces &amp; Pendants		47
Antiques	Asian Antiques	Southeast Asia	Paintings		14
Antiques	Asian Antiques	Southeast Asia	Statues		254
Antiques	Asian Antiques	Southeast Asia	Other		928
Antiques	Asian Antiques	Tibet			490
Antiques	Asian Antiques	Unknown			116
Antiques	Asian Antiques	Reproductions			3074
Antiques	Asian Antiques	Other			737
Antiques	Books &amp; Manuscripts	American			3254
Antiques	Books &amp; Manuscripts	Asian			569
Antiques	Books &amp; Manuscripts	English			731
Antiques	Books &amp; Manuscripts	European			1638
Antiques	Books &amp; Manuscripts	Middle Eastern			209
Antiques	Books &amp; Manuscripts	Other			579
Antiques	Decorative Arts	Ceramics &amp; Porcelain	Bowls		934
Antiques	Decorative Arts	Ceramics &amp; Porcelain	Boxes		219
Antiques	Decorative Arts	Ceramics &amp; Porcelain	Butter Pats		107
Antiques	Decorative Arts	Ceramics &amp; Porcelain	Candle Holders		45
Antiques	Decorative Arts	Ceramics &amp; Porcelain	Candlesticks		42
Antiques	Decorative Arts	Ceramics &amp; Porcelain	Chamber Pots		87
Antiques	Decorative Arts	Ceramics &amp; Porcelain	Creamers &amp; Sugar Bowls		513
Antiques	Decorative Arts	Ceramics &amp; Porcelain	Crocks		505
Antiques	Decorative Arts	Ceramics &amp; Porcelain	Cups &amp; Saucers		2670
Antiques	Decorative Arts	Ceramics &amp; Porcelain	Figurines		3281
Antiques	Decorative Arts	Ceramics &amp; Porcelain	Jars		259
Antiques	Decorative Arts	Ceramics &amp; Porcelain	Jugs		353
Antiques	Decorative Arts	Ceramics &amp; Porcelain	Mugs &amp; Tankards		132
Antiques	Decorative Arts	Ceramics &amp; Porcelain	Pitchers		663
Antiques	Decorative Arts	Ceramics &amp; Porcelain	Planters		92
Antiques	Decorative Arts	Ceramics &amp; Porcelain	Plates &amp; Chargers		2702
Antiques	Decorative Arts	Ceramics &amp; Porcelain	Platters &amp; Trays		430
Antiques	Decorative Arts	Ceramics &amp; Porcelain	Salt &amp; Pepper Shakers		121
Antiques	Decorative Arts	Ceramics &amp; Porcelain	Teapots &amp; Tea Sets		450
Antiques	Decorative Arts	Ceramics &amp; Porcelain	Tiles		470
Antiques	Decorative Arts	Ceramics &amp; Porcelain	Tureens		141
Antiques	Decorative Arts	Ceramics &amp; Porcelain	Urns		117
Antiques	Decorative Arts	Ceramics &amp; Porcelain	Vases		1524
Antiques	Decorative Arts	Ceramics &amp; Porcelain	Other		2192
Antiques	Decorative Arts	Clocks			987
Antiques	Decorative Arts	Glass	Bottles		99
Antiques	Decorative Arts	Glass	Bowls		399
Antiques	Decorative Arts	Glass	Candle Holders		71
Antiques	Decorative Arts	Glass	Candlesticks		44
Antiques	Decorative Arts	Glass	Compotes		140
Antiques	Decorative Arts	Glass	Decanters		373
Antiques	Decorative Arts	Glass	Dishes		156
Antiques	Decorative Arts	Glass	Figurines		65
Antiques	Decorative Arts	Glass	Jars		325
Antiques	Decorative Arts	Glass	Jugs		37
Antiques	Decorative Arts	Glass	Perfume Bottles		980
Antiques	Decorative Arts	Glass	Pitchers		188
Antiques	Decorative Arts	Glass	Plates		100
Antiques	Decorative Arts	Glass	Salt &amp; Pepper Shakers		31
Antiques	Decorative Arts	Glass	Stemware		302
Antiques	Decorative Arts	Glass	Vases		1000
Antiques	Decorative Arts	Glass	Other		815
Antiques	Decorative Arts	Lamps			3897
Antiques	Decorative Arts	Metalware	Brass		2050
Antiques	Decorative Arts	Metalware	Bronze		2854
Antiques	Decorative Arts	Metalware	Cast Iron		1455
Antiques	Decorative Arts	Metalware	Copper		1145
Antiques	Decorative Arts	Metalware	Gold		54
Antiques	Decorative Arts	Metalware	Pewter		779
Antiques	Decorative Arts	Metalware	Tin		232
Antiques	Decorative Arts	Metalware	Wrought Iron		269
